"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #5","Voltage (V) Run #5","Current (A) Run #5","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6"
9.600,-1.0263,9.6019E-11,9.600,-1.0268,5.1864E-11,9.600,-1.0264,1.7930E-10,9.600,-1.0263,1.0804E-10,9.600,-1.0258,4.2963E-10,9.600,-1.0263,2.2508E-10
9.700,-1.0260,9.5986E-11,9.700,-1.0267,5.1592E-11,9.700,-1.0265,1.7939E-10,9.700,-1.0265,1.0811E-10,9.700,-1.0263,4.3067E-10,9.700,-1.0267,2.2460E-10
9.800,-1.0260,9.5954E-11,9.800,-1.0265,5.1359E-11,9.800,-1.0268,1.7940E-10,9.800,-1.0265,1.0820E-10,9.800,-1.0262,4.3134E-10,9.800,-1.0262,2.2400E-10
9.900,-1.0264,9.5956E-11,9.900,-1.0268,5.1214E-11,9.900,-1.0265,1.7930E-10,9.900,-1.0267,1.0826E-10,9.900,-1.0263,4.3161E-10,9.900,-1.0267,2.2364E-10
10.000,-1.0261,9.6008E-11,10.000,-1.0270,5.1135E-11,10.000,-1.0264,1.7908E-10,10.000,-1.0266,1.0825E-10,10.000,-1.0258,4.3167E-10,10.000,-1.0268,2.2387E-10
10.100,-1.0262,9.6072E-11,10.100,-1.0264,5.1135E-11,10.100,-1.0260,1.7884E-10,10.100,-1.0266,1.0807E-10,10.100,-1.0265,4.3170E-10,10.100,-1.0267,2.2447E-10
10.200,-1.0266,9.6059E-11,10.200,-1.0266,5.1189E-11,10.200,-1.0265,1.7861E-10,10.200,-1.0267,1.0782E-10,10.200,-1.0264,4.3176E-10,10.200,-1.0268,2.2514E-10
10.300,-1.0264,9.6004E-11,10.300,-1.0266,5.1293E-11,10.300,-1.0265,1.7842E-10,10.300,-1.0269,1.0760E-10,10.300,-1.0262,4.3179E-10,10.300,-1.0267,2.2573E-10
10.400,-1.0266,9.6055E-11,10.400,-1.0265,5.1442E-11,10.400,-1.0262,1.7823E-10,10.400,-1.0273,1.0739E-10,10.400,-1.0265,4.3175E-10,10.400,-1.0273,2.2623E-10
10.500,-1.0271,9.6098E-11,,,,10.500,-1.0261,1.7798E-10,,,,10.500,-1.0261,4.3174E-10,,,
10.600,-1.0265,9.6012E-11,,,,,,,,,,10.600,-1.0258,4.3177E-10,,,
10.700,-1.0268,9.5817E-11,,,,,,,,,,10.700,-1.0260,4.3180E-10,,,
10.800,-1.0267,9.5660E-11,,,,,,,,,,10.800,-1.0266,4.3178E-10,,,
10.900,-1.0271,9.5620E-11,,,,,,,,,,10.900,-1.0264,4.3170E-10,,,
11.000,-1.0265,9.5655E-11,,,,,,,,,,11.000,-1.0264,4.3159E-10,,,
11.100,-1.0264,9.5636E-11,,,,,,,,,,11.100,-1.0266,4.3146E-10,,,
11.200,-1.0261,9.5539E-11,,,,,,,,,,11.200,-1.0266,4.3134E-10,,,
11.300,-1.0263,9.5475E-11,,,,,,,,,,11.300,-1.0270,4.3130E-10,,,
11.400,-1.0265,9.5427E-11,,,,,,,,,,11.400,-1.0264,4.3127E-10,,,
11.500,-1.0262,9.5362E-11,,,,,,,,,,11.500,-1.0267,4.3115E-10,,,
11.600,-1.0262,9.5219E-11,,,,,,,,,,11.600,-1.0266,4.3078E-10,,,
11.700,-1.0264,9.4978E-11,,,,,,,,,,11.700,-1.0265,4.3008E-10,,,
11.800,-1.0263,9.4691E-11,,,,,,,,,,11.800,-1.0262,4.2932E-10,,,
11.900,-1.0264,9.4381E-11,,,,,,,,,,11.900,-1.0265,4.2883E-10,,,
12.000,-1.0265,9.4057E-11,,,,,,,,,,12.000,-1.0264,4.2894E-10,,,
12.100,-1.0262,9.3687E-11,,,,,,,,,,12.100,-1.0265,4.2906E-10,,,
12.200,-1.0264,9.3242E-11,,,,,,,,,,12.200,-1.0267,4.2842E-10,,,
12.300,-1.0266,9.2835E-11,,,,,,,,,,12.300,-1.0265,4.2699E-10,,,
12.400,-1.0264,9.2626E-11,,,,,,,,,,12.400,-1.0262,4.2514E-10,,,
12.500,-1.0262,9.2676E-11,,,,,,,,,,12.500,-1.0265,4.2349E-10,,,
12.600,-1.0260,9.2977E-11,,,,,,,,,,12.600,-1.0260,4.2263E-10,,,
12.700,-1.0263,9.3493E-11,,,,,,,,,,12.700,-1.0262,4.2283E-10,,,
12.800,-1.0264,9.4132E-11,,,,,,,,,,12.800,-1.0261,4.2413E-10,,,
12.900,-1.0265,9.4698E-11,,,,,,,,,,12.900,-1.0261,4.2564E-10,,,
13.000,-1.0263,9.5120E-11,,,,,,,,,,13.000,-1.0255,4.2677E-10,,,
13.100,-1.0266,9.5443E-11,,,,,,,,,,13.100,-1.0256,4.2754E-10,,,
13.200,-1.0264,9.5730E-11,,,,,,,,,,13.200,-1.0261,4.2813E-10,,,
13.300,-1.0265,9.5987E-11,,,,,,,,,,13.300,-1.0262,4.2854E-10,,,
13.400,-1.0265,9.6193E-11,,,,,,,,,,13.400,-1.0266,4.2866E-10,,,
13.500,-1.0271,9.6334E-11,,,,,,,,,,13.500,-1.0265,4.2910E-10,,,
13.600,-1.0267,9.6395E-11,,,,,,,,,,13.600,-1.0265,4.3031E-10,,,
13.700,-1.0265,9.6336E-11,,,,,,,,,,13.700,-1.0260,4.3200E-10,,,
13.800,-1.0264,9.6206E-11,,,,,,,,,,13.800,-1.0262,4.3364E-10,,,
